match_id,unix_epoc_secs,team_a_id,team_a_name,team_a_score,team_b_id,team_b_name,team_b_score,location,competition
751,-3116793600000,35,Scotland,0,34,England,0,Scotland,
752,-3089577600000,34,England,0,35,Scotland,0,England,
753,-3055708800000,35,Scotland,0,34,England,0,Scotland,
754,-3024864000000,34,England,0,35,Scotland,0,England,
755,-2994019200000,34,England,0,36,Ireland,0,England,
756,-2992204800000,35,Scotland,0,34,England,0,Scotland,
758,-2968012800000,36,Ireland,0,34,England,0,Ireland,
759,-2960755200000,34,England,0,35,Scotland,0,England,
760,-2931724800000,34,England,0,36,Ireland,0,England,
2035,-2930515200000,36,Ireland,0,35,Scotland,0,Northern Ireland,
761,-2929305600000,35,Scotland,0,34,England,0,Scotland,
762,-2897856000000,34,England,0,35,Scotland,0,England,
763,-2897251200000,36,Ireland,0,34,England,0,Ireland,
2037,-2867616000000,36,Ireland,0,35,Scotland,0,Northern Ireland,
764,-2865801600000,35,Scotland,0,34,England,0,Scotland,
765,-2864592000000,34,England,0,36,Ireland,0,England,
766,-2837635200000,36,Ireland,0,34,England,0,Ireland,
2038,-2836339200000,35,Scotland,0,36,Ireland,0,Scotland,
767,-2835129600000,34,England,0,35,Scotland,0,England,
768,-2805494400000,34,England,0,36,Ireland,0,England,
252,-2804544000000,34,England,0,33,Wales,0,England,
2039,-2804284800000,36,Ireland,0,35,Scotland,0,Northern Ireland,
769,-2801865600000,35,Scotland,0,34,England,0,Scotland,
253,-2774649600000,36,Ireland,0,33,Wales,0,Ireland,
770,-2773872000000,36,Ireland,0,34,England,0,Ireland,
2040,-2772835200000,35,Scotland,0,36,Ireland,0,Scotland,
771,-2771625600000,34,England,0,35,Scotland,0,England,
254,-2746828800000,33,Wales,0,34,England,0,Wales,Home Nations 1883
255,-2744841600000,35,Scotland,0,33,Wales,0,Scotland,Home Nations 1883
772,-2742422400000,34,England,0,36,Ireland,0,England,Home Nations 1883
1164,-2741385600000,36,Ireland,0,35,Scotland,0,Northern Ireland,Home Nations 1883
773,-2740176000000,35,Scotland,0,34,England,0,Scotland,Home Nations 1883
256,-2713564800000,34,England,0,33,Wales,0,England,Home Nations 1884
257,-2712960000000,33,Wales,0,35,Scotland,0,Wales,Home Nations 1884
774,-2710972800000,36,Ireland,0,34,England,0,Ireland,Home Nations 1884
1165,-2709936000000,35,Scotland,0,36,Ireland,0,Scotland,Home Nations 1884
775,-2708726400000,34,England,0,35,Scotland,0,England,Home Nations 1884
258,-2705097600000,33,Wales,0,36,Ireland,0,Wales,Home Nations 1884
259,-2682115200000,33,Wales,0,34,England,0,Wales,Home Nations 1885
260,-2681510400000,35,Scotland,0,33,Wales,0,Scotland,Home Nations 1885
776,-2679091200000,34,England,0,36,Ireland,0,England,Home Nations 1885
12308,-2677881600000,36,Ireland,0,35,Scotland,0,Northern Ireland,
1166,-2676672000000,35,Scotland,0,36,Ireland,0,Scotland,Home Nations 1885
261,-2650665600000,34,England,0,33,Wales,0,England,Home Nations 1886
262,-2650060800000,33,Wales,0,35,Scotland,0,Wales,Home Nations 1886
777,-2647641600000,36,Ireland,0,34,England,0,Ireland,Home Nations 1886
1167,-2646432000000,35,Scotland,0,36,Ireland,0,Scotland,Home Nations 1886
778,-2644617600000,35,Scotland,0,34,England,0,Scotland,Home Nations 1886
263,-2618611200000,33,Wales,0,34,England,0,Wales,Home Nations 1887
779,-2616192000000,36,Ireland,0,34,England,0,Ireland,Home Nations 1887
1168,-2614982400000,36,Ireland,0,35,Scotland,0,Northern Ireland,Home Nations 1887
264,-2614377600000,35,Scotland,0,33,Wales,0,Scotland,Home Nations 1887
780,-2613772800000,34,England,0,35,Scotland,0,England,Home Nations 1887
265,-2613168000000,33,Wales,0,36,Ireland,0,England,Home Nations 1887
266,-2584742400000,33,Wales,0,35,Scotland,0,Wales,Home Nations 1888
267,-2582323200000,36,Ireland,0,33,Wales,0,Ireland,Home Nations 1888
1169,-2581718400000,35,Scotland,0,36,Ireland,0,Scotland,Home Nations 1888
269,-2553292800000,35,Scotland,0,33,Wales,0,Scotland,Home Nations 1889
1170,-2552083200000,36,Ireland,0,35,Scotland,0,Northern Ireland,Home Nations 1889
270,-2550873600000,33,Wales,0,36,Ireland,0,Wales,Home Nations 1889
271,-2521843200000,33,Wales,1,35,Scotland,5,Wales,Home Nations 1890
272,-2520633600000,34,England,0,33,Wales,1,England,Home Nations 1890
1171,-2520028800000,35,Scotland,5,36,Ireland,0,Scotland,Home Nations 1890
273,-2519424000000,36,Ireland,0,33,Wales,0,Ireland,Home Nations 1890
782,-2519424000000,35,Scotland,0,34,England,6,Scotland,Home Nations 1890
783,-2518214400000,34,England,3,36,Ireland,0,England,Home Nations 1890
274,-2492812800000,33,Wales,3,34,England,7,Wales,Home Nations 1891
275,-2489788800000,35,Scotland,15,33,Wales,0,Scotland,Home Nations 1891
784,-2489788800000,36,Ireland,0,34,England,9,Ireland,Home Nations 1891
1172,-2488579200000,36,Ireland,0,35,Scotland,14,Northern Ireland,Home Nations 1891
276,-2487369600000,33,Wales,6,36,Ireland,4,Wales,Home Nations 1891
785,-2487369600000,34,England,3,35,Scotland,9,England,Home Nations 1891
6827,-2476483200000,254,Western Province,0,55,British & Irish Lions,6,South Africa,Tour 1891
1901,-2474841600000,39,South Africa,0,55,British & Irish Lions,4,South Africa,Tour 1891
1902,-2472249600000,39,South Africa,0,55,British & Irish Lions,3,South Africa,Tour 1891
1903,-2471644800000,39,South Africa,0,55,British & Irish Lions,4,South Africa,Tour 1891
277,-2461363200000,34,England,17,33,Wales,0,England,Home Nations 1892
278,-2458339200000,33,Wales,2,35,Scotland,7,Wales,Home Nations 1892
786,-2458339200000,34,England,7,36,Ireland,0,England,Home Nations 1892
1173,-2457129600000,35,Scotland,2,36,Ireland,0,Scotland,Home Nations 1892
279,-2455920000000,36,Ireland,9,33,Wales,0,Ireland,Home Nations 1892
787,-2455920000000,35,Scotland,0,34,England,5,Scotland,Home Nations 1892
280,-2429308800000,33,Wales,12,34,England,11,Wales,Home Nations 1893
281,-2426889600000,35,Scotland,0,33,Wales,9,Scotland,Home Nations 1893
788,-2426889600000,36,Ireland,0,34,England,4,Ireland,Home Nations 1893
1174,-2425507200000,36,Ireland,0,35,Scotland,0,Northern Ireland,Home Nations 1893
789,-2424470400000,34,England,0,35,Scotland,8,England,Home Nations 1893
282,-2423865600000,33,Wales,2,36,Ireland,0,Wales,Home Nations 1893
283,-2397859200000,34,England,24,33,Wales,3,England,Home Nations 1894
284,-2395440000000,33,Wales,7,35,Scotland,0,Wales,Home Nations 1894
790,-2395440000000,34,England,5,36,Ireland,7,England,Home Nations 1894
1175,-2393625600000,36,Ireland,5,35,Scotland,0,Ireland,Home Nations 1894
285,-2392416000000,36,Ireland,3,33,Wales,0,Northern Ireland,Home Nations 1894
791,-2391811200000,35,Scotland,6,34,England,0,Scotland,Home Nations 1894
286,-2366409600000,33,Wales,6,34,England,14,Wales,Home Nations 1895
287,-2364595200000,35,Scotland,5,33,Wales,4,Scotland,Home Nations 1895
792,-2363990400000,36,Ireland,3,34,England,6,Ireland,Home Nations 1895
1176,-2361571200000,35,Scotland,6,36,Ireland,0,Scotland,Home Nations 1895
793,-2360966400000,34,England,3,35,Scotland,6,England,Home Nations 1895
288,-2360361600000,33,Wales,5,36,Ireland,3,Wales,Home Nations 1895
289,-2334960000000,34,England,25,33,Wales,0,England,Home Nations 1896
290,-2333145600000,33,Wales,6,35,Scotland,0,Wales,Home Nations 1896
794,-2332540800000,34,England,4,36,Ireland,10,England,Home Nations 1896
1177,-2331331200000,36,Ireland,0,35,Scotland,0,Ireland,Home Nations 1896
291,-2328912000000,36,Ireland,8,33,Wales,4,Ireland,Home Nations 1896
795,-2328912000000,35,Scotland,11,34,England,0,Scotland,Home Nations 1896
6848,-2318284800000,254,Western Province,0,55,British & Irish Lions,0,South Africa,Tour 1896
1904,-2316988800000,39,South Africa,0,55,British & Irish Lions,8,South Africa,Tour 1896
1905,-2315001600000,39,South Africa,8,55,British & Irish Lions,17,South Africa,Tour 1896
1906,-2314396800000,39,South Africa,3,55,British & Irish Lions,9,,Tour 1896
6862,-2313964800000,254,Western Province,0,55,British & Irish Lions,32,South Africa,Tour 1896
1907,-2313792000000,39,South Africa,5,55,British & Irish Lions,0,South Africa,Tour 1896
292,-2302905600000,33,Wales,11,34,England,0,Wales,Home Nations 1897
796,-2300486400000,36,Ireland,13,34,England,9,Ireland,Home Nations 1897
1178,-2299276800000,35,Scotland,8,36,Ireland,3,Scotland,Home Nations 1897
797,-2297462400000,34,England,12,35,Scotland,3,England,Home Nations 1897
798,-2269036800000,34,England,6,36,Ireland,9,England,Home Nations 1898
1179,-2267827200000,36,Ireland,0,35,Scotland,8,Northern Ireland,Home Nations 1898
799,-2266012800000,35,Scotland,3,34,England,3,Scotland,Home Nations 1898
293,-2265408000000,36,Ireland,3,33,Wales,11,,Home Nations 1898
294,-2264198400000,34,England,14,33,Wales,7,England,Home Nations 1898
295,-2240006400000,33,Wales,26,34,England,3,Wales,Home Nations 1899
800,-2237587200000,36,Ireland,6,34,England,0,Ireland,Home Nations 1899
1180,-2236377600000,35,Scotland,3,36,Ireland,9,Scotland,Home Nations 1899
296,-2235168000000,35,Scotland,21,33,Wales,10,Scotland,Home Nations 1899
801,-2234563200000,34,England,0,35,Scotland,5,England,Home Nations 1899
297,-2233958400000,33,Wales,0,36,Ireland,3,Wales,Home Nations 1899
1359,-2225491200000,38,Australia,13,55,British & Irish Lions,3,Australia,Tour 1899
1360,-2223072000000,38,Australia,0,55,British & Irish Lions,11,Australia,Tour 1899
1361,-2221862400000,38,Australia,10,55,British & Irish Lions,11,Australia,Tour 1899
1362,-2221257600000,38,Australia,0,55,British & Irish Lions,13,Australia,Tour 1899
298,-2208556800000,34,England,3,33,Wales,13,England,Home Nations 1900
299,-2206742400000,33,Wales,12,35,Scotland,3,Wales,Home Nations 1900
802,-2206137600000,34,England,15,36,Ireland,4,England,Home Nations 1900
1181,-2204323200000,36,Ireland,0,35,Scotland,0,Ireland,Home Nations 1900
803,-2203113600000,35,Scotland,0,34,England,0,Scotland,Home Nations 1900
300,-2202508800000,36,Ireland,0,33,Wales,3,Northern Ireland,Home Nations 1900
301,-2177107200000,33,Wales,13,34,England,0,Wales,Home Nations 1901
302,-2174083200000,35,Scotland,18,33,Wales,8,Scotland,Home Nations 1901
804,-2174083200000,36,Ireland,10,34,England,6,Ireland,Home Nations 1901
1182,-2172873600000,35,Scotland,9,36,Ireland,5,Scotland,Home Nations 1901
805,-2171664000000,34,England,3,35,Scotland,18,England,Home Nations 1901
303,-2171059200000,33,Wales,10,36,Ireland,9,Wales,Home Nations 1901
304,-2145052800000,34,England,8,33,Wales,9,England,Home Nations 1902
305,-2143238400000,33,Wales,14,35,Scotland,5,Wales,Home Nations 1902
806,-2142633600000,34,England,6,36,Ireland,3,England,Home Nations 1902
1183,-2141424000000,36,Ireland,5,35,Scotland,0,Northern Ireland,Home Nations 1902
306,-2140214400000,36,Ireland,0,33,Wales,15,Ireland,Home Nations 1902
807,-2139609600000,35,Scotland,3,34,England,6,Scotland,Home Nations 1902
307,-2113603200000,33,Wales,21,34,England,5,Wales,Home Nations 1903
308,-2111184000000,35,Scotland,6,33,Wales,0,Scotland,Home Nations 1903
808,-2110579200000,36,Ireland,6,34,England,0,Ireland,Home Nations 1903
1184,-2109369600000,35,Scotland,3,36,Ireland,0,Scotland,Home Nations 1903
309,-2108160000000,33,Wales,18,36,Ireland,0,Wales,Home Nations 1903
809,-2107555200000,34,England,6,35,Scotland,10,England,Home Nations 1903
6871,-2097705600000,254,Western Province,8,55,British & Irish Lions,4,South Africa,Tour 1903
1363,-2094854400000,38,Australia,3,37,New Zealand,22,Australia,Tour 1903
1908,-2093904000000,39,South Africa,10,55,British & Irish Lions,10,South Africa,Tour 1903
1909,-2093040000000,39,South Africa,0,55,British & Irish Lions,0,South Africa,Tour 1903
6887,-2092608000000,254,Western Province,3,55,British & Irish Lions,3,South Africa,Tour 1903
1910,-2092435200000,39,South Africa,8,55,British & Irish Lions,0,South Africa,Tour 1903
310,-2082153600000,34,England,14,33,Wales,14,England,Home Nations 1904
311,-2079734400000,33,Wales,21,35,Scotland,3,Wales,Home Nations 1904
810,-2079129600000,34,England,19,36,Ireland,0,England,Home Nations 1904
1185,-2077920000000,36,Ireland,3,35,Scotland,19,Ireland,Home Nations 1904
312,-2076710400000,36,Ireland,14,33,Wales,12,Northern Ireland,Home Nations 1904
811,-2076105600000,35,Scotland,6,34,England,3,Scotland,Home Nations 1904
1364,-2067033600000,38,Australia,0,55,British & Irish Lions,17,Australia,Tour 1904
1365,-2065219200000,38,Australia,3,55,British & Irish Lions,17,Australia,Tour 1904
1366,-2064614400000,38,Australia,0,55,British & Irish Lions,16,Australia,Tour 1904
1707,-2063404800000,37,New Zealand,9,55,British & Irish Lions,3,New Zealand,Tour 1904
313,-2050099200000,33,Wales,25,34,England,0,Wales,Home Nations 1905
314,-2048284800000,35,Scotland,3,33,Wales,6,Scotland,Home Nations 1905
812,-2047680000000,36,Ireland,17,34,England,3,Ireland,Home Nations 1905
1186,-2046470400000,35,Scotland,5,36,Ireland,11,Scotland,Home Nations 1905
315,-2045260800000,33,Wales,10,36,Ireland,3,Wales,Home Nations 1905
813,-2044656000000,34,England,0,35,Scotland,8,England,Home Nations 1905
1367,-2030140800000,37,New Zealand,14,38,Australia,3,New Zealand,Tour 1905
1708,-2023488000000,35,Scotland,7,37,New Zealand,12,Scotland,Tour 1905
1709,-2022883200000,36,Ireland,0,37,New Zealand,15,Ireland,Tour 1905
814,-2022278400000,34,England,0,37,New Zealand,15,England,Tour 1905
316,-2021016600000,33,Wales,3,37,New Zealand,0,Wales,Tour 1905
1710,-2019686400000,42,France,8,37,New Zealand,38,France,Tour 1905
317,-2018649600000,34,England,3,33,Wales,16,England,Home Nations 1906
318,-2016835200000,33,Wales,9,35,Scotland,3,Wales,Home Nations 1906
815,-2016230400000,34,England,6,36,Ireland,16,England,Home Nations 1906
1187,-2015020800000,36,Ireland,6,35,Scotland,13,Ireland,Home Nations 1906
319,-2013811200000,36,Ireland,11,33,Wales,6,Northern Ireland,Home Nations 1906
816,-2013206400000,35,Scotland,3,34,England,9,Scotland,Home Nations 1906
817,-2012774400000,42,France,8,34,England,35,France,
1911,-1992038400000,35,Scotland,6,39,South Africa,0,Scotland,Tour 1906
1912,-1991433600000,36,Ireland,12,39,South Africa,15,Northern Ireland,Tour 1906
320,-1990828800000,33,Wales,0,39,South Africa,11,Wales,Tour 1906
818,-1990224000000,34,England,3,39,South Africa,3,England,Tour 1906
819,-1987804800000,34,England,41,42,France,13,England,
321,-1987200000000,33,Wales,22,34,England,0,Wales,Home Nations 1907
322,-1985385600000,35,Scotland,6,33,Wales,3,Scotland,Home Nations 1907
820,-1984780800000,36,Ireland,17,34,England,9,Ireland,Home Nations 1907
1188,-1983571200000,35,Scotland,15,36,Ireland,3,Scotland,Home Nations 1907
323,-1982361600000,33,Wales,29,36,Ireland,0,Wales,Home Nations 1907
821,-1981756800000,34,England,3,35,Scotland,8,England,Home Nations 1907
1368,-1970870400000,38,Australia,6,37,New Zealand,26,Australia,Tour 1907
1369,-1969660800000,38,Australia,5,37,New Zealand,14,Australia,Tour 1907
1370,-1969056000000,38,Australia,5,37,New Zealand,5,Australia,Tour 1907
822,-1956614400000,42,France,0,34,England,19,France,
324,-1955145600000,34,England,18,33,Wales,28,England,Home Nations 1908
326,-1953936000000,33,Wales,6,35,Scotland,5,Wales,Home Nations 1908
823,-1953331200000,34,England,13,36,Ireland,3,England,Home Nations 1908
1189,-1951516800000,36,Ireland,16,35,Scotland,11,Ireland,Home Nations 1908
327,-1951344000000,33,Wales,36,42,France,4,Wales,
